no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
34-13506;3413506;S6 17.105 E106 52.766;;;Jakarta;21.5;24.1;45.6;Plumpang
34-13602;3413602;S6 15.125 E106 51.880;;;Jakarta;20.4;17.7;38.1;Plumpang
34-13603;3413603;S6 15.121 E106 54.531;;;Jakarta;25.6;19.4;45;Plumpang
34-13604;3413604;S6 15.416 E106 51.827;;;Jakarta;23.2;16.5;39.7;Plumpang
34-13605;3413605;S6 15.091 E106 52.849;;;Jakarta;23.4;15.1;38.5;Plumpang
34-13702;3413702;S6 18.157 E106 51.508;;;Jakarta;25.7;28.9;54.6;Plumpang
34-13703;3413703;S6 19.731 E106 53.173;;;Jakarta;29.9;31.4;61.3;Plumpang
34-13704;3413704;S6 19.266 E106 51.918;;;Jakarta;26.5;28;54.5;Plumpang
34-13706;3413706;S6 21.964 E106 53.321;;;Jakarta;38;30.2;68.2;Plumpang
34-13707;3413707;S6 22.169 E106 53.218;;;Jakarta;31.3;32.4;63.7;Plumpang
34-13708;3413708;S6 20.710 E106 53.001;;;Jakarta;34.4;35.4;69.8;Plumpang
34-13709;3413709;S6 20.436 E106 52.488;;;Jakarta;32.7;33.1;65.8;Plumpang
34-13801;3413801;S6 17.486 E106 53.296;;;Jakarta;27.1;20.4;47.5;Plumpang
34-13802;3413802;S6 17.380 E106 53.787;;;Jakarta;27.1;22.1;49.2;Plumpang
34-13803;3413803;S6 18.996 E106 53.495;;;Jakarta;29.3;24.3;53.6;Plumpang
34-13804;3413804;S6 18.544 E106 52.151;;;Jakarta;29.7;23.9;53.6;Plumpang
34-13805;3413805;S6 18.360 E106 55.003;;;Jakarta;30.2;25.1;55.3;Plumpang
34-13806;3413806;S6 18.435 E106 52.519;;;Jakarta;24.9;24.8;49.7;Plumpang
34-13807;3413807;S6 20.337 E106 54.019;;;Jakarta;29.8;32;61.8;Plumpang
34-13808;3413808;S6 19.914 E106 53.326;;;Jakarta;27.2;30.6;57.8;Plumpang
34-13809;3413809;S6 20.429 E106 53.453;;;Jakarta;39;25.2;64.2;Plumpang
